# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue May 14 14:41:58 2019
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_pdisposition: Disposition Using Kepler Data
#
kepid,kepoi_name,kepler_name,koi_pdisposition
10287723,K01174.01,,CANDIDATE
10350571,K01175.01,Kepler-784 b,CANDIDATE
10350571,K01175.02,,CANDIDATE
10350571,K01175.03,,FALSE POSITIVE
3749365,K01176.01,Kepler-785 b,CANDIDATE
3547091,K01177.01,,FALSE POSITIVE
3869825,K01178.01,,FALSE POSITIVE
3655332,K01179.01,,FALSE POSITIVE
4042026,K01180.01,,FALSE POSITIVE
3344419,K01181.01,,FALSE POSITIVE
3865567,K01182.01,,FALSE POSITIVE
3544689,K01183.01,,FALSE POSITIVE
4037164,K01184.01,,FALSE POSITIVE
3443790,K01185.01,,FALSE POSITIVE
3966912,K01186.01,,FALSE POSITIVE
3848972,K01187.01,,FALSE POSITIVE
3860441,K01188.01,,FALSE POSITIVE
3765771,K01189.01,,FALSE POSITIVE
3557341,K01190.01,,FALSE POSITIVE
3859628,K01191.01,,CANDIDATE
3644071,K01192.01,,CANDIDATE
3644071,K01192.02,,FALSE POSITIVE
3942446,K01193.01,,CANDIDATE
3554031,K01194.01,Kepler-415 c,CANDIDATE
3554031,K01194.02,,CANDIDATE
3554031,K01194.03,Kepler-415 b,CANDIDATE
3644523,K01195.01,,FALSE POSITIVE
3348082,K01196.01,,FALSE POSITIVE
3348082,K01196.02,Kepler-274 b,CANDIDATE
3348082,K01196.03,Kepler-274 c,CANDIDATE
3853673,K01197.01,,FALSE POSITIVE
3447722,K01198.01,Kepler-275 c,CANDIDATE
3447722,K01198.02,Kepler-275 b,CANDIDATE
3447722,K01198.03,Kepler-275 d,CANDIDATE
3447722,K01198.04,,CANDIDATE
3859079,K01199.01,Kepler-786 b,CANDIDATE
3557493,K01200.01,,FALSE POSITIVE
4061149,K01201.01,,CANDIDATE
3444588,K01202.01,Kepler-787 b,CANDIDATE
3962243,K01203.01,Kepler-276 c,CANDIDATE
3962243,K01203.02,Kepler-276 b,CANDIDATE
3962243,K01203.03,Kepler-276 d,CANDIDATE
3438507,K01204.01,Kepler-788 b,CANDIDATE
3869014,K01205.01,Kepler-789 b,CANDIDATE
3756801,K01206.01,,CANDIDATE
3732821,K01207.01,Kepler-790 b,CANDIDATE
3962440,K01208.01,,CANDIDATE
3534076,K01209.01,,CANDIDATE
3962357,K01210.01,Kepler-791 b,CANDIDATE
3858704,K01211.01,,FALSE POSITIVE
3749134,K01212.01,Kepler-792 b,CANDIDATE
3556220,K01213.01,,FALSE POSITIVE
3660924,K01214.01,Kepler-793 b,CANDIDATE
3939150,K01215.01,Kepler-277 b,CANDIDATE
3939150,K01215.02,Kepler-277 c,CANDIDATE
3839488,K01216.01,Kepler-794 b,CANDIDATE
3542588,K01217.01,,FALSE POSITIVE
3442055,K01218.01,Kepler-795 b,CANDIDATE
3440861,K01219.01,,FALSE POSITIVE
4043190,K01220.01,Kepler-796 b,CANDIDATE
3640905,K01221.01,Kepler-278 b,CANDIDATE
3640905,K01221.02,Kepler-278 c,CANDIDATE
4060815,K01222.01,,FALSE POSITIVE
6613006,K01223.01,,FALSE POSITIVE
6606653,K01224.01,,FALSE POSITIVE
6620003,K01225.01,,CANDIDATE
6621116,K01226.01,,FALSE POSITIVE
6629332,K01227.01,,FALSE POSITIVE
6387450,K01228.01,,FALSE POSITIVE
6432059,K01229.01,,FALSE POSITIVE
6470149,K01230.01,,FALSE POSITIVE
6462874,K01231.01,,FALSE POSITIVE
6462874,K01231.02,,FALSE POSITIVE
6665223,K01232.01,,FALSE POSITIVE
6665223,K01232.02,,FALSE POSITIVE
6545358,K01233.01,,FALSE POSITIVE
6390824,K01234.01,,FALSE POSITIVE
6546528,K01235.01,,FALSE POSITIVE
6677841,K01236.01,Kepler-279 c,CANDIDATE
6677841,K01236.02,Kepler-279 b,CANDIDATE
6677841,K01236.03,Kepler-279 d,CANDIDATE
6677841,K01236.04,,CANDIDATE
6531491,K01237.01,,FALSE POSITIVE
6383821,K01238.01,Kepler-797 b,CANDIDATE
6607286,K01239.01,,CANDIDATE
6607286,K01239.02,,CANDIDATE
6690082,K01240.01,Kepler-280 b,CANDIDATE
6690082,K01240.02,Kepler-280 c,CANDIDATE
6448890,K01241.01,Kepler-56 c,CANDIDATE
6448890,K01241.02,Kepler-56 b,CANDIDATE
6607447,K01242.01,,CANDIDATE
6677256,K01243.01,,FALSE POSITIVE
6692833,K01244.01,,FALSE POSITIVE
6693640,K01245.01,Kepler-798 b,CANDIDATE
6441738,K01246.01,,CANDIDATE
8801343,K01247.01,,FALSE POSITIVE
8488878,K01248.01,,FALSE POSITIVE
8560285,K01249.01,,FALSE POSITIVE
8620565,K01250.01,,FALSE POSITIVE
8620565,K01250.02,,CANDIDATE
8616873,K01251.01,,CANDIDATE
8737796,K01252.01,,FALSE POSITIVE
8462258,K01253.01,,FALSE POSITIVE
8454250,K01254.01,,FALSE POSITIVE
8494263,K01255.01,,CANDIDATE
8848271,K01256.01,,FALSE POSITIVE
8751933,K01257.01,Kepler-420 b,CANDIDATE
8630788,K01258.01,Kepler-281 c,CANDIDATE
8630788,K01258.02,Kepler-281 b,CANDIDATE
8630788,K01258.03,,CANDIDATE
8823426,K01259.01,,FALSE POSITIVE
8766222,K01260.01,,FALSE POSITIVE
8678594,K01261.01,Kepler-799 b,CANDIDATE
8678594,K01261.02,,CANDIDATE
8703884,K01262.01,,FALSE POSITIVE
8560840,K01263.01,,FALSE POSITIVE
8612847,K01264.01,Kepler-800 b,CANDIDATE
8552583,K01265.01,,FALSE POSITIVE
8547140,K01266.01,Kepler-801 b,CANDIDATE
8519253,K01267.01,,FALSE POSITIVE
8813698,K01268.01,,CANDIDATE
8757910,K01269.01,,FALSE POSITIVE
8564587,K01270.01,Kepler-57 b,CANDIDATE
8564587,K01270.02,Kepler-57 c,CANDIDATE
8631160,K01271.01,,CANDIDATE
8552498,K01272.01,,FALSE POSITIVE
8806072,K01273.01,Kepler-802 b,CANDIDATE
8800954,K01274.01,Kepler-421 b,CANDIDATE
8583696,K01275.01,Kepler-803 b,CANDIDATE
8804283,K01276.01,,CANDIDATE
8804283,K01276.02,,CANDIDATE
8552565,K01277.01,,FALSE POSITIVE
8609450,K01278.01,Kepler-282 d,CANDIDATE
8609450,K01278.02,Kepler-282 e,CANDIDATE
8609450,K01278.03,Kepler-282 b,CANDIDATE
8609450,K01278.04,Kepler-282 c,CANDIDATE
8609450,K01278.05,,FALSE POSITIVE
8628758,K01279.01,Kepler-804 b,CANDIDATE
8628758,K01279.02,Kepler-804 c,CANDIDATE
8509361,K01280.01,,FALSE POSITIVE
8742590,K01281.01,,CANDIDATE
8822366,K01282.01,Kepler-805 b,CANDIDATE
8700771,K01283.01,Kepler-806 b,CANDIDATE
10960993,K01284.01,,FALSE POSITIVE
10599397,K01285.01,,FALSE POSITIVE
10879208,K01286.01,,FALSE POSITIVE
10843203,K01287.01,,FALSE POSITIVE
10790387,K01288.01,Kepler-807 b,CANDIDATE
10748393,K01289.01,,FALSE POSITIVE
10748393,K01289.02,,FALSE POSITIVE
10874226,K01290.01,,FALSE POSITIVE
10661771,K01291.01,,FALSE POSITIVE
10924853,K01292.01,,FALSE POSITIVE
10874926,K01293.01,,FALSE POSITIVE
10549562,K01294.01,,FALSE POSITIVE
10666230,K01295.01,,FALSE POSITIVE
10971674,K01296.01,,FALSE POSITIVE
10676923,K01297.01,,FALSE POSITIVE
10604335,K01298.01,Kepler-283 b,CANDIDATE
10604335,K01298.02,Kepler-283 c,CANDIDATE
10864656,K01299.01,Kepler-432 b,CANDIDATE
10975146,K01300.01,Kepler-808 b,CANDIDATE
10538176,K01301.01,Kepler-284 b,CANDIDATE
10538176,K01301.02,Kepler-284 c,CANDIDATE
10724369,K01302.01,Kepler-809 b,CANDIDATE
10867062,K01303.01,,CANDIDATE
10744335,K01304.01,Kepler-810 b,CANDIDATE
10730034,K01305.01,Kepler-285 b,CANDIDATE
10730034,K01305.02,Kepler-285 c,CANDIDATE
10858691,K01306.01,Kepler-286 b,CANDIDATE
10858691,K01306.02,Kepler-286 c,CANDIDATE
10858691,K01306.03,Kepler-286 d,CANDIDATE
10858691,K01306.04,Kepler-286 e,CANDIDATE
10973814,K01307.01,Kepler-287 c,CANDIDATE
10973814,K01307.02,Kepler-287 b,CANDIDATE
10586208,K01308.01,Kepler-811 b,CANDIDATE
10854768,K01309.01,Kepler-812 b,CANDIDATE
10964440,K01310.01,Kepler-813 b,CANDIDATE
10964440,K01310.02,,CANDIDATE
10713616,K01311.01,,CANDIDATE
10963242,K01312.01,Kepler-814 b,CANDIDATE
10963242,K01312.02,,FALSE POSITIVE
10785538,K01313.01,,FALSE POSITIVE
10585852,K01314.01,Kepler-815 b,CANDIDATE
10928043,K01315.01,,CANDIDATE
10794087,K01316.01,,CANDIDATE
10794087,K01316.02,,CANDIDATE
4275739,K01317.01,,FALSE POSITIVE
4070376,K01318.01,,FALSE POSITIVE
4078157,K01319.01,,FALSE POSITIVE
4078157,K01319.02,,CANDIDATE
4164994,K01320.01,Kepler-816 b,CANDIDATE
4480676,K01321.01,,FALSE POSITIVE
4079535,K01322.01,,FALSE POSITIVE
4076098,K01323.01,Kepler-817 b,CANDIDATE
4551328,K01324.01,,FALSE POSITIVE
4282872,K01325.01,Kepler-818 b,CANDIDATE
4639868,K01326.01,,FALSE POSITIVE
4372768,K01327.01,,FALSE POSITIVE
4074736,K01328.01,,CANDIDATE
4072526,K01329.01,Kepler-819 b,CANDIDATE
4150539,K01330.01,,FALSE POSITIVE
4150539,K01330.02,,FALSE POSITIVE
4274548,K01331.01,,CANDIDATE
4455231,K01332.01,Kepler-288 c,CANDIDATE
4455231,K01332.02,Kepler-288 b,CANDIDATE
4455231,K01332.03,Kepler-288 d,CANDIDATE
4285107,K01333.01,,FALSE POSITIVE
4150624,K01334.01,,FALSE POSITIVE
4150624,K01334.02,,FALSE POSITIVE
4155328,K01335.01,Kepler-820 b,CANDIDATE
4077526,K01336.01,Kepler-58 b,CANDIDATE
4077526,K01336.02,Kepler-58 c,CANDIDATE
4077526,K01336.03,Kepler-58 d,CANDIDATE
4077526,K01336.04,,CANDIDATE
4243911,K01337.01,Kepler-821 b,CANDIDATE
4466677,K01338.01,Kepler-822 b,CANDIDATE
4466677,K01338.02,,CANDIDATE
4466677,K01338.03,,CANDIDATE
4135665,K01339.01,Kepler-823 b,CANDIDATE
4386059,K01340.01,,FALSE POSITIVE
4650674,K01341.01,Kepler-824 b,CANDIDATE
4275721,K01342.01,Kepler-825 b,CANDIDATE
4275721,K01342.02,Kepler-825 c,CANDIDATE
4570931,K01343.01,,FALSE POSITIVE
4136466,K01344.01,Kepler-826 b,CANDIDATE
7284688,K01345.01,,FALSE POSITIVE
7199774,K01346.01,,FALSE POSITIVE
7037540,K01347.01,,FALSE POSITIVE
7037540,K01347.02,,FALSE POSITIVE
6866228,K01348.01,,FALSE POSITIVE
6847018,K01349.01,,FALSE POSITIVE
7220322,K01350.01,,FALSE POSITIVE
6964043,K01351.01,,FALSE POSITIVE
6956233,K01352.01,,FALSE POSITIVE
7303287,K01353.01,Kepler-289 c,CANDIDATE
7303287,K01353.02,Kepler-289 b,CANDIDATE
7303287,K01353.03,,CANDIDATE
6891543,K01354.01,,FALSE POSITIVE
7211141,K01355.01,Kepler-827 b,CANDIDATE
7363829,K01356.01,,CANDIDATE
6719086,K01357.01,,CANDIDATE
7376983,K01358.01,,CANDIDATE
7376983,K01358.02,,CANDIDATE
7376983,K01358.03,,CANDIDATE
7376983,K01358.04,,CANDIDATE
6946199,K01359.01,,CANDIDATE
6946199,K01359.02,,CANDIDATE
7102227,K01360.01,Kepler-290 c,CANDIDATE
7102227,K01360.02,Kepler-290 b,CANDIDATE
7102227,K01360.03,,CANDIDATE
6960913,K01361.01,Kepler-61 b,CANDIDATE
6837146,K01362.01,,CANDIDATE
6936909,K01363.01,Kepler-291 b,CANDIDATE
6936909,K01363.02,Kepler-291 c,CANDIDATE
6962977,K01364.01,Kepler-292 f,CANDIDATE
6962977,K01364.02,Kepler-292 d,CANDIDATE
6962977,K01364.03,Kepler-292 e,CANDIDATE
6962977,K01364.04,Kepler-292 c,CANDIDATE
6962977,K01364.05,Kepler-292 b,CANDIDATE
7174351,K01365.01,,FALSE POSITIVE
6932987,K01366.01,Kepler-293 b,CANDIDATE
6932987,K01366.02,Kepler-293 c,CANDIDATE
6934291,K01367.01,Kepler-828 b,CANDIDATE
7357531,K01368.01,,FALSE POSITIVE
7287415,K01369.01,,CANDIDATE
6924203,K01370.01,Kepler-829 b,CANDIDATE
6878167,K01371.01,,FALSE POSITIVE
6880531,K01372.01,,FALSE POSITIVE
6863839,K01373.01,,FALSE POSITIVE
7296086,K01374.01,,FALSE POSITIVE
6766634,K01375.01,,CANDIDATE
6774826,K01376.01,,FALSE POSITIVE
7211469,K01377.01,Kepler-830 b,CANDIDATE
7375795,K01378.01,,FALSE POSITIVE
7375795,K01378.02,,FALSE POSITIVE
7211221,K01379.01,Kepler-831 b,CANDIDATE
7025526,K01380.01,,FALSE POSITIVE
9451127,K01381.01,,FALSE POSITIVE
9446824,K01382.01,,FALSE POSITIVE
8953257,K01383.01,,FALSE POSITIVE
8971432,K01384.01,,FALSE POSITIVE
9278553,K01385.01,,FALSE POSITIVE
9143254,K01386.01,,FALSE POSITIVE
8949247,K01387.01,,FALSE POSITIVE
9346253,K01388.01,,FALSE POSITIVE
9002237,K01389.01,,FALSE POSITIVE
9288786,K01390.01,,FALSE POSITIVE
8958035,K01391.01,,FALSE POSITIVE
9040849,K01392.01,,FALSE POSITIVE
9202151,K01393.01,,CANDIDATE
8937021,K01394.01,,FALSE POSITIVE
8935810,K01395.01,,CANDIDATE
9455556,K01396.01,Kepler-294 c,CANDIDATE
9455556,K01396.02,Kepler-294 b,CANDIDATE
9427402,K01397.01,,CANDIDATE
9269281,K01398.01,,CANDIDATE
9100484,K01399.01,,CANDIDATE
9157908,K01400.01,,FALSE POSITIVE
9030447,K01401.01,,FALSE POSITIVE
9034103,K01402.01,Kepler-832 b,CANDIDATE
9214942,K01403.01,Kepler-833 b,CANDIDATE
8874090,K01404.01,Kepler-834 b,CANDIDATE
8874090,K01404.02,,CANDIDATE
9264949,K01405.01,Kepler-835 b,CANDIDATE
9271752,K01406.01,Kepler-836 b,CANDIDATE
9007866,K01407.01,,FALSE POSITIVE
9150827,K01408.01,,CANDIDATE
9150827,K01408.02,,FALSE POSITIVE
9391208,K01409.01,Kepler-837 b,CANDIDATE
9391506,K01410.01,Kepler-838 b,CANDIDATE
9425139,K01411.01,,CANDIDATE
8950853,K01412.01,Kepler-839 b,CANDIDATE
9006449,K01413.01,Kepler-295 b,CANDIDATE
9006449,K01413.02,Kepler-295 c,CANDIDATE
9006449,K01413.03,Kepler-295 d,CANDIDATE
8916492,K01414.01,,FALSE POSITIVE
11193447,K01415.01,,FALSE POSITIVE
11517719,K01416.01,Kepler-840 b,FALSE POSITIVE
11599264,K01417.01,,FALSE POSITIVE
11100657,K01418.01,,FALSE POSITIVE
11125936,K01419.01,,FALSE POSITIVE
11026304,K01420.01,,CANDIDATE
11342550,K01421.01,,CANDIDATE
11497958,K01422.01,Kepler-296 c,CANDIDATE
11497958,K01422.02,Kepler-296 d,CANDIDATE
11497958,K01422.03,Kepler-296 b,CANDIDATE
11497958,K01422.04,Kepler-296 f,CANDIDATE
11497958,K01422.05,Kepler-296 e,CANDIDATE
11177707,K01423.01,Kepler-841 b,CANDIDATE
11611600,K01424.01,Kepler-842 b,CANDIDATE
11254382,K01425.01,Kepler-843 b,CANDIDATE
11122894,K01426.01,Kepler-297 b,CANDIDATE
11122894,K01426.02,Kepler-297 c,CANDIDATE
11122894,K01426.03,,CANDIDATE
11129738,K01427.01,Kepler-844 b,CANDIDATE
11129738,K01427.02,,CANDIDATE
11401182,K01428.01,Kepler-845 b,CANDIDATE
11030711,K01429.01,,CANDIDATE
11176127,K01430.01,Kepler-298 b,CANDIDATE
11176127,K01430.02,Kepler-298 c,CANDIDATE
11176127,K01430.03,Kepler-298 d,CANDIDATE
11075279,K01431.01,,CANDIDATE
11014932,K01432.01,Kepler-299 c,CANDIDATE
11014932,K01432.02,Kepler-299 d,CANDIDATE
11014932,K01432.03,Kepler-299 b,CANDIDATE
11014932,K01432.04,Kepler-299 e,CANDIDATE
11288505,K01433.01,Kepler-846 b,CANDIDATE
11493431,K01434.01,Kepler-847 b,CANDIDATE
11037335,K01435.01,Kepler-300 c,CANDIDATE
11037335,K01435.02,Kepler-300 b,CANDIDATE
11389771,K01436.01,Kepler-301 b,CANDIDATE
11389771,K01436.02,Kepler-301 d,CANDIDATE
11389771,K01436.03,Kepler-301 c,CANDIDATE
11599038,K01437.01,,CANDIDATE
11599038,K01437.02,,FALSE POSITIVE
11599038,K01437.03,,FALSE POSITIVE
11193263,K01438.01,Kepler-848 b,CANDIDATE
11027624,K01439.01,Kepler-849 b,CANDIDATE
11032227,K01440.01,Kepler-850 b,CANDIDATE
11356260,K01441.01,Kepler-851 b,CANDIDATE
11600889,K01442.01,Kepler-407 b,CANDIDATE
11197126,K01443.01,,FALSE POSITIVE
11043167,K01444.01,Kepler-852 b,CANDIDATE
11336883,K01445.01,Kepler-853 b,CANDIDATE
11336883,K01445.02,,CANDIDATE
11336883,K01445.03,,CANDIDATE
12506351,K01446.01,,FALSE POSITIVE
7622486,K01447.01,,FALSE POSITIVE
7622486,K01447.02,,FALSE POSITIVE
9705459,K01448.01,,FALSE POSITIVE
7802136,K01449.01,,FALSE POSITIVE
7532973,K01450.01,Kepler-854 b,FALSE POSITIVE
9632895,K01451.01,,FALSE POSITIVE
7449844,K01452.01,,FALSE POSITIVE
7842610,K01453.01,,FALSE POSITIVE
7830637,K01454.01,,FALSE POSITIVE
4760746,K01455.01,,CANDIDATE
7832356,K01456.01,Kepler-855 b,CANDIDATE
9643874,K01457.01,Kepler-856 b,CANDIDATE
12120943,K01458.01,,CANDIDATE
9761199,K01459.01,,FALSE POSITIVE
7751571,K01460.01,,FALSE POSITIVE
9579499,K01461.01,,FALSE POSITIVE
11913013,K01462.01,,FALSE POSITIVE
7672940,K01463.01,,FALSE POSITIVE
7838655,K01464.01,,FALSE POSITIVE
11702948,K01465.01,,CANDIDATE
9512981,K01466.01,,CANDIDATE
7770450,K01467.01,,FALSE POSITIVE
9851226,K01468.01,,FALSE POSITIVE
7543649,K01469.01,,FALSE POSITIVE
9480310,K01470.01,,CANDIDATE
11858748,K01471.01,,FALSE POSITIVE
7761545,K01472.01,Kepler-857 b,CANDIDATE
7499398,K01473.01,,CANDIDATE
12365184,K01474.01,Kepler-419 b,CANDIDATE
4770365,K01475.01,,CANDIDATE
4770365,K01475.02,,CANDIDATE
4770365,K01475.03,,CANDIDATE
12406749,K01476.01,,CANDIDATE
7811397,K01477.01,,CANDIDATE
12403119,K01478.01,Kepler-858 b,CANDIDATE
9842890,K01479.01,,FALSE POSITIVE
7512982,K01480.01,Kepler-859 b,CANDIDATE
7512982,K01480.02,,CANDIDATE
9597806,K01481.01,Kepler-860 b,CANDIDATE
7812167,K01482.01,,FALSE POSITIVE
11909686,K01483.01,,FALSE POSITIVE
11760959,K01484.01,,FALSE POSITIVE
9692345,K01485.01,,FALSE POSITIVE
7898352,K01486.01,Kepler-302 c,CANDIDATE
7898352,K01486.02,Kepler-302 b,CANDIDATE
12062667,K01487.01,,FALSE POSITIVE
9589323,K01488.01,Kepler-861 b,CANDIDATE
9823487,K01489.01,,CANDIDATE
9602514,K01490.01,,FALSE POSITIVE
9726659,K01491.01,Kepler-862 b,CANDIDATE
12108312,K01492.01,,FALSE POSITIVE
9842906,K01493.01,,FALSE POSITIVE
11821363,K01494.01,,CANDIDATE
7629518,K01495.01,Kepler-863 b,CANDIDATE
4828341,K01496.01,,FALSE POSITIVE
11774387,K01497.01,,FALSE POSITIVE
9636135,K01498.01,Kepler-864 b,CANDIDATE
9636135,K01498.02,,CANDIDATE
7841925,K01499.01,Kepler-865 b,CANDIDATE
7841925,K01499.02,,CANDIDATE
7841925,K01499.03,,CANDIDATE
9719634,K01500.01,,FALSE POSITIVE
7439316,K01501.01,Kepler-866 b,CANDIDATE
12061238,K01502.01,,FALSE POSITIVE
12400538,K01503.01,Kepler-867 b,CANDIDATE
9641018,K01504.01,,FALSE POSITIVE
9813499,K01505.01,Kepler-868 b,CANDIDATE
12254792,K01506.01,Kepler-869 b,CANDIDATE
12020218,K01507.01,Kepler-870 b,CANDIDATE
7690844,K01508.01,Kepler-871 b,CANDIDATE
9535080,K01509.01,,FALSE POSITIVE
11870545,K01510.01,,CANDIDATE
7901948,K01511.01,Kepler-872 b,CANDIDATE
11955499,K01512.01,,FALSE POSITIVE
9784222,K01513.01,,FALSE POSITIVE
9520668,K01514.01,,FALSE POSITIVE
7871954,K01515.01,Kepler-303 b,CANDIDATE
7871954,K01515.02,Kepler-303 c,CANDIDATE
12418724,K01516.01,Kepler-873 b,CANDIDATE
7456001,K01517.01,Kepler-874 b,CANDIDATE
7549209,K01518.01,Kepler-875 b,CANDIDATE
7663405,K01519.01,Kepler-876 b,CANDIDATE
7663405,K01519.02,,CANDIDATE
9765975,K01520.01,Kepler-877 b,CANDIDATE
9818462,K01521.01,Kepler-878 b,CANDIDATE
12266636,K01522.01,Kepler-879 b,CANDIDATE
12266636,K01522.02,,CANDIDATE
9850893,K01523.01,,FALSE POSITIVE
4826110,K01524.01,,FALSE POSITIVE
7869917,K01525.01,Kepler-880 b,CANDIDATE
7869917,K01525.02,,CANDIDATE
9824805,K01526.01,Kepler-881 b,CANDIDATE
7768451,K01527.01,,CANDIDATE
7691260,K01528.01,Kepler-882 b,CANDIDATE
9821454,K01529.01,Kepler-59 c,CANDIDATE
9821454,K01529.02,Kepler-59 b,CANDIDATE
11954842,K01530.01,Kepler-883 b,CANDIDATE
11764462,K01531.01,Kepler-884 b,CANDIDATE
11656246,K01532.01,Kepler-885 b,CANDIDATE
7808587,K01533.01,Kepler-886 b,CANDIDATE
4741126,K01534.01,Kepler-887 b,CANDIDATE
4741126,K01534.02,Kepler-887 c,CANDIDATE
11669125,K01535.01,Kepler-888 b,CANDIDATE
12159249,K01536.01,Kepler-889 b,CANDIDATE
9872292,K01537.01,,CANDIDATE
9963461,K01538.01,,FALSE POSITIVE
8081482,K01539.01,,FALSE POSITIVE
5649956,K01540.01,,FALSE POSITIVE
4840513,K01541.01,,FALSE POSITIVE
4840513,K01541.02,,FALSE POSITIVE
8113154,K01542.01,,FALSE POSITIVE
5270698,K01543.01,,FALSE POSITIVE
5024450,K01544.01,,FALSE POSITIVE
5282049,K01545.01,,FALSE POSITIVE
5282049,K01545.02,,FALSE POSITIVE
5475431,K01546.01,,CANDIDATE
5283458,K01547.01,,CANDIDATE
9940565,K01548.01,,FALSE POSITIVE
8053552,K01549.01,,CANDIDATE
8111381,K01550.01,,FALSE POSITIVE
5444549,K01551.01,,FALSE POSITIVE
7984047,K01552.01,,CANDIDATE
7951018,K01553.01,Kepler-890 b,CANDIDATE
9899355,K01554.01,,FALSE POSITIVE
12644774,K01555.01,,FALSE POSITIVE
9902856,K01556.01,,FALSE POSITIVE
5371776,K01557.01,Kepler-304 b,CANDIDATE
5371776,K01557.02,Kepler-304 d,CANDIDATE
5371776,K01557.03,Kepler-304 c,CANDIDATE
5371776,K01557.04,Kepler-304 e,CANDIDATE
10019763,K01558.01,,FALSE POSITIVE
9899280,K01559.01,,FALSE POSITIVE
8046659,K01560.01,,CANDIDATE
4940438,K01561.01,,FALSE POSITIVE
5308663,K01562.01,,FALSE POSITIVE
5308663,K01562.02,,CANDIDATE
5219234,K01563.01,Kepler-305 b,CANDIDATE
5219234,K01563.02,Kepler-305 c,CANDIDATE
5219234,K01563.03,,CANDIDATE
5219234,K01563.04,Kepler-305 d,CANDIDATE
5184584,K01564.01,Kepler-891 b,CANDIDATE
5636648,K01565.01,,FALSE POSITIVE
5564247,K01566.01,,FALSE POSITIVE
5438099,K01567.01,Kepler-306 c,CANDIDATE
5438099,K01567.02,Kepler-306 b,CANDIDATE
5438099,K01567.03,Kepler-306 d,CANDIDATE
5438099,K01567.04,Kepler-306 e,CANDIDATE
5210475,K01568.01,,FALSE POSITIVE
8009350,K01569.01,Kepler-892 b,CANDIDATE
8082001,K01570.01,Kepler-893 b,CANDIDATE
5557821,K01571.01,,FALSE POSITIVE
10004519,K01572.01,Kepler-894 b,CANDIDATE
5031857,K01573.01,,CANDIDATE
5031857,K01573.02,,CANDIDATE
10028792,K01574.01,Kepler-87 b,CANDIDATE
10028792,K01574.02,Kepler-87 c,CANDIDATE
10028792,K01574.03,,CANDIDATE
10028792,K01574.04,,CANDIDATE
5553652,K01575.01,,FALSE POSITIVE
5299459,K01576.01,Kepler-307 b,CANDIDATE
5299459,K01576.02,Kepler-307 c,CANDIDATE
5299459,K01576.03,,CANDIDATE
12506770,K01577.01,Kepler-895 b,CANDIDATE
5629985,K01578.01,,FALSE POSITIVE
9898364,K01579.01,,FALSE POSITIVE
5193400,K01580.01,,FALSE POSITIVE
7939330,K01581.01,,CANDIDATE
7939330,K01581.02,Kepler-896 b,CANDIDATE
4918309,K01582.01,,CANDIDATE
12602568,K01583.01,Kepler-897 b,CANDIDATE
9941066,K01584.01,Kepler-898 b,CANDIDATE
5470739,K01585.01,Kepler-899 b,CANDIDATE
10022908,K01586.01,Kepler-900 b,CANDIDATE
9932970,K01587.01,,CANDIDATE
5617854,K01588.01,Kepler-901 b,CANDIDATE
5301750,K01589.01,Kepler-84 b,CANDIDATE
5301750,K01589.02,Kepler-84 c,CANDIDATE
5301750,K01589.03,Kepler-84 e,CANDIDATE
5301750,K01589.04,Kepler-84 d,CANDIDATE
5301750,K01589.05,Kepler-84 f,CANDIDATE
5542466,K01590.01,,CANDIDATE
5542466,K01590.02,,CANDIDATE
5542466,K01590.03,,CANDIDATE
10028140,K01591.01,,CANDIDATE
5217586,K01592.01,,FALSE POSITIVE
5289854,K01593.01,Kepler-308 b,CANDIDATE
5289854,K01593.02,Kepler-308 c,CANDIDATE
9895709,K01594.01,,FALSE POSITIVE
10006581,K01595.01,Kepler-902 b,CANDIDATE
10027323,K01596.01,Kepler-309 b,CANDIDATE
10027323,K01596.02,Kepler-309 c,CANDIDATE
5039228,K01597.01,,CANDIDATE
10004738,K01598.01,Kepler-310 c,CANDIDATE
10004738,K01598.02,Kepler-310 d,CANDIDATE
10004738,K01598.03,Kepler-310 b,CANDIDATE
5474613,K01599.01,Kepler-1659 c,CANDIDATE
5474613,K01599.02,Kepler-1659 b,CANDIDATE
4860932,K01600.01,,FALSE POSITIVE
5438757,K01601.01,Kepler-903 b,CANDIDATE
5438757,K01601.02,Kepler-903 c,CANDIDATE
4860678,K01602.01,,CANDIDATE
4860678,K01602.02,,CANDIDATE
5177104,K01603.01,Kepler-904 b,CANDIDATE
10033279,K01604.01,,FALSE POSITIVE
5009189,K01605.01,,FALSE POSITIVE
9886661,K01606.01,Kepler-905 b,CANDIDATE
5477805,K01607.01,,FALSE POSITIVE
10055126,K01608.01,Kepler-311 b,CANDIDATE
10055126,K01608.02,Kepler-311 c,CANDIDATE
10055126,K01608.03,,CANDIDATE
5009743,K01609.01,Kepler-906 b,CANDIDATE
5474733,K01610.01,,FALSE POSITIVE
12644769,K01611.01,,FALSE POSITIVE
10963065,K01612.01,Kepler-408 b,CANDIDATE
6268648,K01613.01,Kepler-907 b,CANDIDATE
6268648,K01613.02,,CANDIDATE
6268648,K01613.03,,CANDIDATE
