# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue May 14 14:44:06 2019
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
#
kepid,kepoi_name,kepler_name,koi_impact,koi_impact_err1,koi_impact_err2
3239636,K01093.01,,1.204,0.091,-0.099
2721030,K01094.01,Kepler-766 b,0.015,0.360,-0.015
3329204,K01095.01,,0.251,0.150,-0.251
3240706,K01098.01,,1.199,18.310,-0.152
2853093,K01099.01,Kepler-767 b,0.000,0.333,0.000
3228824,K01100.01,,0.018,0.354,-0.018
3245969,K01101.01,Kepler-768 b,0.732,0.239,-0.515
3231341,K01102.01,Kepler-24 c,0.979,5.779,-0.028
3231341,K01102.02,Kepler-24 b,0.965,0.018,-0.521
3231341,K01102.03,Kepler-24 e,1.300,73.170,-6.938
3231341,K01102.04,Kepler-24 d,0.949,0.000,-0.711
2860866,K01103.01,,0.698,0.079,-0.415
2851100,K01104.01,,0.216,0.251,-0.216
3130300,K01105.01,,0.708,0.225,-0.497
3240158,K01106.01,Kepler-769 b,0.097,0.343,-0.097
3240158,K01106.02,Kepler-769 c,0.533,0.018,-0.472
3240158,K01106.03,,0.435,0.046,-0.414
3228959,K01107.01,,1.169,0.111,-0.178
3218908,K01108.01,Kepler-770 b,0.806,0.025,-0.556
3218908,K01108.02,Kepler-770 c,0.136,0.339,-0.136
3218908,K01108.03,Kepler-770 d,0.639,0.280,-0.448
2837111,K01110.01,Kepler-771 b,0.314,0.133,-0.314
2837111,K01110.02,,0.192,0.266,-0.192
3120276,K01111.01,,0.690,0.248,-0.457
3109930,K01112.01,,0.061,0.337,-0.061
2854914,K01113.01,Kepler-268 b,0.014,0.409,-0.014
2854914,K01113.02,Kepler-268 c,0.058,0.369,-0.057
3337425,K01114.01,,1.195,53.670,-0.125
3116412,K01115.01,Kepler-772 b,0.091,0.347,-0.091
2849805,K01116.01,Kepler-773 b,0.942,0.021,-0.682
3114811,K01117.01,Kepler-774 b,0.020,0.432,-0.020
2853446,K01118.01,,0.993,0.039,-0.714
3003992,K01119.01,,0.040,0.423,-0.040
3003992,K01119.02,,0.497,0.457,-0.298
6307537,K01120.01,,0.337,0.012,-0.015
6359798,K01121.01,,1.100,0.021,-0.032
6311681,K01122.01,,1.297,0.254,-0.207
6365321,K01123.01,,1.264,2.358,-0.096
6301035,K01124.01,,1.269,17.790,-0.101
6292162,K01125.01,,0.945,0.009,-0.007
6307521,K01126.01,,0.941,0.005,-0.007
6307521,K01126.02,,1.222,74.710,-2.662
6359320,K01127.01,Kepler-269 b,0.043,0.403,-0.043
6359320,K01127.02,Kepler-269 c,0.357,0.106,-0.357
6359320,K01127.03,,0.330,0.130,-0.330
6362874,K01128.01,Kepler-775 b,0.120,0.331,-0.120
6272413,K01129.01,Kepler-776 b,0.660,0.001,-0.516
8279765,K01130.01,,0.800,0.013,-0.009
8435247,K01131.01,,1.219,0.196,-0.081
8330548,K01132.01,,0.942,0.487,-0.035
8374494,K01133.01,,1.256,0.154,-0.105
8414907,K01134.01,,1.256,69.040,-0.111
8414907,K01134.02,,,,
8397446,K01135.01,,1.252,0.459,-0.159
8386035,K01136.01,,,,
8332986,K01137.01,,1.134,0.306,-0.132
8415745,K01138.01,,1.276,67.880,-0.006
8378634,K01139.01,,0.970,0.002,-0.003
8397675,K01140.01,,1.246,1.850,-0.045
8346392,K01141.01,Kepler-777 b,0.220,0.233,-0.220
8288947,K01142.01,Kepler-778 b,0.127,0.313,-0.127
8312852,K01143.01,,0.968,0.077,-0.644
8302450,K01144.01,,0.856,0.135,-0.855
8313667,K01145.01,,0.013,0.424,-0.013
8351704,K01146.01,Kepler-779 b,0.050,0.369,-0.050
8299955,K01147.01,,0.769,0.154,-0.524
8410727,K01148.01,Kepler-270 b,0.755,0.011,-0.543
8410727,K01148.02,Kepler-270 c,0.743,0.215,-0.507
8278371,K01150.01,Kepler-780 b,0.132,0.335,-0.132
8280511,K01151.01,Kepler-271 b,0.174,0.257,-0.174
8280511,K01151.02,Kepler-271 c,0.064,0.384,-0.064
8280511,K01151.03,Kepler-271 d,0.248,0.199,-0.248
8280511,K01151.04,,0.357,0.093,-0.357
8280511,K01151.05,,0.311,0.150,-0.311
10287248,K01152.01,,0.506,0.030,-0.003
10351767,K01153.01,,1.250,0.187,-0.079
10295951,K01154.01,,0.570,0.011,-0.010
10342041,K01155.01,,1.262,0.085,-0.082
10514770,K01156.01,,0.917,0.016,-0.018
10342065,K01157.01,,1.270,0.109,-0.100
10352945,K01158.01,,0.014,0.408,-0.014
10354039,K01159.01,,0.900,0.018,-0.064
10330115,K01160.01,Kepler-781 b,0.812,0.106,-0.606
10426656,K01161.01,Kepler-272 c,0.219,0.248,-0.219
10426656,K01161.02,Kepler-272 d,0.866,0.079,-0.595
10426656,K01161.03,Kepler-272 b,0.349,0.102,-0.349
10528068,K01162.01,Kepler-782 b,0.034,0.380,-0.034
10468940,K01163.01,Kepler-273 b,0.524,0.071,-0.415
10468940,K01163.02,Kepler-273 c,0.645,0.032,-0.484
10341831,K01164.01,,1.225,0.069,-0.209
10337517,K01165.01,,0.899,0.003,-0.623
10337517,K01165.02,Kepler-783 b,0.454,0.495,-0.251
10351231,K01166.01,,0.939,0.007,-0.651
10485179,K01167.01,,0.639,0.440,-0.638
10319385,K01169.01,,0.154,0.271,-0.154
10482160,K01170.01,,0.185,0.269,-0.185
10341913,K01172.01,,0.736,0.357,-0.226
10480921,K01173.01,,0.715,0.219,-0.476
10350571,K01175.01,Kepler-784 b,0.283,0.144,-0.283
10350571,K01175.02,,0.238,0.218,-0.238
10350571,K01175.03,,0.008,0.435,-0.008
3749365,K01176.01,Kepler-785 b,0.337,0.225,-0.165
3547091,K01177.01,,1.145,7.090,-0.656
3869825,K01178.01,,0.785,0.006,-0.007
3655332,K01179.01,,1.018,1.873,-0.101
4042026,K01180.01,,0.663,0.006,-0.003
3344419,K01181.01,,1.224,0.508,-0.093
3865567,K01182.01,,0.937,0.046,-0.021
3544689,K01183.01,,0.943,0.005,-0.004
4037164,K01184.01,,1.253,0.914,-0.128
3443790,K01185.01,,1.270,3.096,-0.104
3966912,K01186.01,,1.298,5.117,-0.161
3848972,K01187.01,,1.260,0.880,-0.152
3860441,K01188.01,,1.216,6.805,-0.017
3765771,K01189.01,,1.255,5.838,-0.080
3557341,K01190.01,,1.228,0.168,-0.113
3859628,K01191.01,,0.926,0.017,-0.648
3644071,K01192.02,,0.002,0.177,-0.002
3942446,K01193.01,,0.968,0.423,-0.045
3554031,K01194.01,Kepler-415 c,0.063,0.418,-0.063
3554031,K01194.02,,0.324,0.143,-0.324
3554031,K01194.03,Kepler-415 b,0.142,0.312,-0.142
3644523,K01195.01,,1.283,7.044,-0.031
3348082,K01196.01,,0.775,0.052,-0.540
3348082,K01196.02,Kepler-274 b,0.053,0.397,-0.053
3348082,K01196.03,Kepler-274 c,0.826,0.133,-0.571
3853673,K01197.01,,1.193,0.988,-0.016
3447722,K01198.01,Kepler-275 c,0.648,0.290,-0.430
3447722,K01198.02,Kepler-275 b,0.004,0.452,-0.004
3447722,K01198.03,Kepler-275 d,0.610,0.310,-0.390
3859079,K01199.01,Kepler-786 b,0.346,0.104,-0.346
4061149,K01201.01,,0.093,0.352,-0.093
3444588,K01202.01,Kepler-787 b,0.181,0.277,-0.181
3962243,K01203.01,Kepler-276 c,0.938,0.007,-0.682
3962243,K01203.02,Kepler-276 b,0.811,0.116,-0.571
3962243,K01203.03,Kepler-276 d,0.988,69.780,-0.682
3438507,K01204.01,Kepler-788 b,0.573,0.037,-0.462
3869014,K01205.01,Kepler-789 b,0.049,0.371,-0.048
3732821,K01207.01,Kepler-790 b,0.941,0.011,-0.658
3962357,K01210.01,Kepler-791 b,0.955,0.012,-0.671
3858704,K01211.01,,0.727,0.000,-0.537
3749134,K01212.01,Kepler-792 b,0.117,0.329,-0.117
3556220,K01213.01,,0.601,0.141,-0.385
3660924,K01214.01,Kepler-793 b,0.257,0.187,-0.257
3939150,K01215.01,Kepler-277 b,0.764,0.148,-0.531
3939150,K01215.02,Kepler-277 c,0.390,0.063,-0.390
3839488,K01216.01,Kepler-794 b,0.010,0.420,-0.010
3542588,K01217.01,,0.719,0.196,-0.473
3442055,K01218.01,Kepler-795 b,0.046,0.395,-0.046
4043190,K01220.01,Kepler-796 b,0.861,0.056,-0.596
3640905,K01221.01,Kepler-278 b,0.802,0.021,-0.558
3640905,K01221.02,Kepler-278 c,0.498,0.011,-0.443
6613006,K01223.01,,0.799,0.001,-0.001
6606653,K01224.01,,1.300,0.056,-0.047
6620003,K01225.01,,1.182,0.046,-0.065
6621116,K01226.01,,0.776,0.009,-0.008
6629332,K01227.01,,0.926,3.878,-0.081
6387450,K01228.01,,0.812,0.004,-0.005
6470149,K01230.01,,0.263,0.056,-0.114
6462874,K01231.01,,0.001,0.364,-0.001
6462874,K01231.02,,0.001,0.455,-0.001
6665223,K01232.01,,0.915,0.013,-0.011
6665223,K01232.02,,0.680,,
6545358,K01233.01,,0.973,0.480,-0.022
6390824,K01234.01,,1.097,1.757,-0.054
6546528,K01235.01,,1.208,5.729,-0.113
6677841,K01236.01,Kepler-279 c,0.878,0.051,-0.613
6677841,K01236.02,Kepler-279 b,0.847,0.037,-0.598
6677841,K01236.04,,0.906,0.029,-0.623
6531491,K01237.01,,1.292,65.480,-0.212
6383821,K01238.01,Kepler-797 b,0.015,0.385,-0.015
6607286,K01239.01,,0.041,0.400,-0.040
6607286,K01239.02,,0.422,0.042,-0.422
6690082,K01240.01,Kepler-280 b,0.368,0.094,-0.368
6690082,K01240.02,Kepler-280 c,0.940,0.007,-0.651
6448890,K01241.01,Kepler-56 c,0.943,0.005,-0.031
6448890,K01241.02,Kepler-56 b,0.034,0.325,-0.034
6607447,K01242.01,,0.966,0.029,-0.018
6677256,K01243.01,,0.506,0.048,-0.443
6692833,K01244.01,,0.207,0.264,-0.206
6693640,K01245.01,Kepler-798 b,0.022,0.359,-0.022
6441738,K01246.01,,0.033,0.400,-0.033
8801343,K01247.01,,0.703,0.002,-0.003
8488878,K01248.01,,0.773,0.004,-0.005
8560285,K01249.01,,12.773,62.920,-2.511
8620565,K01250.01,,1.244,1.494,-0.137
8616873,K01251.01,,1.113,0.433,-0.096
8737796,K01252.01,,1.205,0.150,-0.082
8462258,K01253.01,,1.254,0.827,-0.106
8454250,K01254.01,,0.019,0.309,-0.019
8494263,K01255.01,,0.359,0.044,-0.290
8848271,K01256.01,,1.256,0.258,-0.119
8751933,K01257.01,Kepler-420 b,0.000,0.196,0.000
8630788,K01258.01,Kepler-281 c,0.825,0.019,-0.069
8630788,K01258.02,Kepler-281 b,0.561,0.353,-0.358
8630788,K01258.03,,0.883,0.069,-0.612
8823426,K01259.01,,1.226,0.776,-0.037
8766222,K01260.01,,0.022,6.829,-0.007
8678594,K01261.01,Kepler-799 b,0.249,0.043,-0.249
8678594,K01261.02,,0.906,0.054,-0.611
8703884,K01262.01,,0.041,0.353,-0.041
8560840,K01263.01,,1.240,35.620,-0.119
8612847,K01264.01,Kepler-800 b,0.848,0.015,-0.585
8552583,K01265.01,,1.250,0.699,-0.171
8547140,K01266.01,Kepler-801 b,0.242,0.182,-0.242
8519253,K01267.01,,1.646,31.190,-0.153
8813698,K01268.01,,0.765,0.020,-0.035
8757910,K01269.01,,1.121,0.372,-0.064
8564587,K01270.01,Kepler-57 b,0.597,0.297,-0.389
8564587,K01270.02,Kepler-57 c,0.030,0.426,-0.030
8631160,K01271.01,,0.663,0.015,-0.021
8806072,K01273.01,Kepler-802 b,0.819,0.013,-0.572
8583696,K01275.01,Kepler-803 b,0.018,0.326,-0.017
8804283,K01276.01,,0.036,0.415,-0.036
8804283,K01276.02,,0.220,0.250,-0.220
8552565,K01277.01,,0.713,0.112,-0.216
8609450,K01278.01,Kepler-282 d,0.007,0.415,-0.007
8609450,K01278.02,Kepler-282 e,0.273,0.161,-0.273
8609450,K01278.03,Kepler-282 b,0.037,0.411,-0.037
8609450,K01278.04,Kepler-282 c,0.105,0.344,-0.105
8609450,K01278.05,,0.336,0.127,-0.336
8628758,K01279.01,Kepler-804 b,0.035,0.384,-0.035
8628758,K01279.02,Kepler-804 c,0.122,0.342,-0.122
8509361,K01280.01,,0.688,0.242,-0.427
8742590,K01281.01,,0.048,0.410,-0.048
8822366,K01282.01,Kepler-805 b,0.907,0.014,-0.649
8700771,K01283.01,Kepler-806 b,0.951,0.007,-0.695
10960993,K01284.01,,1.255,0.123,-0.074
10879208,K01286.01,,1.269,0.550,-0.110
10843203,K01287.01,,1.264,4.822,-0.150
10790387,K01288.01,Kepler-807 b,0.615,0.028,-0.070
10748393,K01289.01,,0.561,0.011,-0.464
10748393,K01289.02,,0.287,0.192,-0.287
10874226,K01290.01,,1.300,12.630,-0.113
10661771,K01291.01,,0.995,0.034,-0.017
10924853,K01292.01,,1.236,9.116,-0.132
10874926,K01293.01,,1.279,17.050,-0.199
10549562,K01294.01,,0.982,0.102,-0.018
10666230,K01295.01,,1.332,4.112,-0.101
10971674,K01296.01,,0.664,0.001,-0.001
10676923,K01297.01,,0.979,0.175,-0.054
10604335,K01298.01,Kepler-283 b,0.025,0.408,-0.025
10604335,K01298.02,Kepler-283 c,0.019,0.422,-0.019
10864656,K01299.01,Kepler-432 b,0.110,0.254,-0.110
10975146,K01300.01,Kepler-808 b,0.726,0.002,-0.519
10538176,K01301.01,Kepler-284 b,0.663,0.268,-0.442
10538176,K01301.02,Kepler-284 c,0.366,0.081,-0.366
10724369,K01302.01,Kepler-809 b,0.811,0.062,-0.553
10867062,K01303.01,,0.711,0.034,-0.513
10744335,K01304.01,Kepler-810 b,0.033,0.443,-0.033
10730034,K01305.01,Kepler-285 b,0.204,0.272,-0.204
10730034,K01305.02,Kepler-285 c,0.013,0.437,-0.013
10858691,K01306.01,Kepler-286 b,0.015,0.417,-0.015
10858691,K01306.02,Kepler-286 c,0.143,0.326,-0.143
10858691,K01306.03,Kepler-286 d,0.040,0.403,-0.040
10858691,K01306.04,Kepler-286 e,0.779,0.174,-0.545
10973814,K01307.01,Kepler-287 c,0.807,0.107,-0.562
10973814,K01307.02,Kepler-287 b,0.826,0.134,-0.595
10586208,K01308.01,Kepler-811 b,0.711,0.037,-0.497
10854768,K01309.01,Kepler-812 b,0.296,0.160,-0.296
10964440,K01310.01,Kepler-813 b,0.861,0.005,-0.595
10964440,K01310.02,,0.087,0.378,-0.087
10713616,K01311.01,,0.544,0.001,-0.484
10963242,K01312.01,Kepler-814 b,0.083,0.371,-0.083
10785538,K01313.01,,0.967,0.033,-0.715
10585852,K01314.01,Kepler-815 b,0.129,0.318,-0.129
10928043,K01315.01,,0.900,0.011,-0.627
10794087,K01316.01,,0.898,0.021,-0.658
4275739,K01317.01,,1.323,2.303,-0.280
4070376,K01318.01,,1.229,0.062,-0.054
4078157,K01319.01,,13.239,66.180,-10.170
4164994,K01320.01,Kepler-816 b,0.407,0.074,-0.178
4480676,K01321.01,,1.268,0.591,-0.066
4079535,K01322.01,,0.825,0.009,-0.011
4076098,K01323.01,Kepler-817 b,0.582,0.057,-0.329
4551328,K01324.01,,1.240,0.447,-0.053
4282872,K01325.01,Kepler-818 b,0.079,0.284,-0.079
4639868,K01326.01,,0.988,0.039,-0.025
4372768,K01327.01,,1.167,70.140,-0.084
4074736,K01328.01,,0.007,0.383,-0.007
4072526,K01329.01,Kepler-819 b,0.017,0.440,-0.017
4150539,K01330.01,,1.222,44.230,-0.088
4150539,K01330.02,,0.173,0.312,-0.173
4274548,K01331.01,,0.597,0.086,-0.448
4455231,K01332.01,Kepler-288 c,0.001,0.419,-0.001
4455231,K01332.02,Kepler-288 b,0.012,0.446,-0.012
4455231,K01332.03,Kepler-288 d,0.298,0.184,-0.298
4285107,K01333.01,,0.737,0.172,-0.737
4150624,K01334.01,,1.214,36.040,-0.635
4150624,K01334.02,,0.213,0.232,-0.213
4155328,K01335.01,Kepler-820 b,0.416,0.035,-0.380
4077526,K01336.01,Kepler-58 b,0.416,0.034,-0.416
4077526,K01336.02,Kepler-58 c,0.946,0.005,-0.671
4077526,K01336.03,Kepler-58 d,0.868,0.083,-0.623
4077526,K01336.04,,0.754,0.223,-0.548
4243911,K01337.01,Kepler-821 b,0.036,0.439,-0.036
4466677,K01338.01,Kepler-822 b,0.330,0.136,-0.330
4466677,K01338.02,,0.672,0.002,-0.517
4466677,K01338.03,,0.853,0.016,-0.598
4135665,K01339.01,Kepler-823 b,0.709,0.021,-0.512
4386059,K01340.01,,0.470,0.017,-0.470
4650674,K01341.01,Kepler-824 b,0.118,0.319,-0.118
4275721,K01342.01,Kepler-825 b,0.000,0.424,0.000
4275721,K01342.02,Kepler-825 c,0.655,0.274,-0.444
4570931,K01343.01,,0.533,0.002,-0.462
4136466,K01344.01,Kepler-826 b,0.532,0.406,-0.332
7199774,K01346.01,,1.082,56.920,-0.023
7037540,K01347.01,,0.001,0.026,-0.001
6866228,K01348.01,,3.346,60.060,-0.509
6847018,K01349.01,,7.444,66.780,-6.476
7220322,K01350.01,,1.272,0.331,-0.129
6964043,K01351.01,,1.250,16.320,-0.120
6956233,K01352.01,,0.924,0.007,-0.011
7303287,K01353.01,Kepler-289 c,0.101,0.014,-0.101
7303287,K01353.02,Kepler-289 b,0.870,0.013,-0.603
7303287,K01353.03,,0.681,0.048,-0.491
6891543,K01354.01,,1.218,0.664,-0.057
7211141,K01355.01,Kepler-827 b,0.398,0.412,-0.223
6719086,K01357.01,,0.010,0.425,-0.010
7376983,K01358.01,,0.445,0.037,-0.445
7376983,K01358.02,,0.025,0.416,-0.025
7376983,K01358.03,,0.063,0.396,-0.062
7376983,K01358.04,,0.035,0.438,-0.035
6946199,K01359.01,,0.410,0.473,-0.225
6946199,K01359.02,,0.918,0.006,-0.010
7102227,K01360.01,Kepler-290 c,0.545,0.368,-0.319
7102227,K01360.02,Kepler-290 b,0.694,0.204,-0.477
7102227,K01360.03,,0.442,0.500,-0.237
6960913,K01361.01,Kepler-61 b,0.004,0.411,-0.004
6837146,K01362.01,,0.703,0.017,-0.520
6936909,K01363.01,Kepler-291 b,0.633,0.296,-0.421
6936909,K01363.02,Kepler-291 c,0.664,0.280,-0.453
6962977,K01364.01,Kepler-292 f,0.269,0.192,-0.269
6962977,K01364.02,Kepler-292 d,0.301,0.135,-0.301
6962977,K01364.03,Kepler-292 e,0.073,0.398,-0.073
6962977,K01364.04,Kepler-292 c,0.327,0.124,-0.327
6962977,K01364.05,Kepler-292 b,0.160,0.299,-0.160
7174351,K01365.01,,0.678,0.285,-0.465
6932987,K01366.01,Kepler-293 b,0.548,0.328,-0.338
6932987,K01366.02,Kepler-293 c,0.927,0.018,-0.641
6934291,K01367.01,Kepler-828 b,0.324,0.154,-0.324
7357531,K01368.01,,1.264,6.614,-0.100
7287415,K01369.01,,0.732,0.182,-0.491
6924203,K01370.01,Kepler-829 b,0.075,0.379,-0.075
6878167,K01371.01,,0.547,0.203,-0.546
6863839,K01373.01,,0.767,0.168,-0.496
7296086,K01374.01,,1.146,1.953,-0.099
6766634,K01375.01,,0.873,0.035,-0.581
6774826,K01376.01,,1.199,6.713,-0.015
7211469,K01377.01,Kepler-830 b,0.634,0.274,-0.410
7375795,K01378.01,,0.862,0.058,-0.577
7375795,K01378.02,,0.552,0.008,-0.492
7211221,K01379.01,Kepler-831 b,0.742,0.180,-0.503
7025526,K01380.01,,0.122,0.265,-0.121
9451127,K01381.01,,0.683,0.008,-0.003
9446824,K01382.01,,0.004,0.208,-0.004
8953257,K01383.01,,0.777,0.012,-0.003
8971432,K01384.01,,1.157,0.065,-0.050
9278553,K01385.01,,1.258,0.040,-0.174
9143254,K01386.01,,1.238,0.054,-0.050
8949247,K01387.01,,1.137,0.038,-0.096
9346253,K01388.01,,0.524,0.009,0.000
9002237,K01389.01,,0.986,5.892,-0.034
9288786,K01390.01,,0.618,0.169,-0.341
8958035,K01391.01,,1.036,0.342,-0.053
9040849,K01392.01,,0.754,0.063,-0.244
9202151,K01393.01,,0.671,0.001,-0.534
8937021,K01394.01,,0.169,0.270,-0.169
8935810,K01395.01,,0.808,0.092,-0.595
9455556,K01396.01,Kepler-294 c,0.111,0.302,-0.111
9455556,K01396.02,Kepler-294 b,0.178,0.265,-0.178
9427402,K01397.01,,0.039,0.355,-0.039
9269281,K01398.01,,0.877,0.050,-0.621
9100484,K01399.01,,0.330,0.117,-0.330
9157908,K01400.01,,1.148,14.560,-0.077
9034103,K01402.01,Kepler-832 b,0.027,0.425,-0.027
9214942,K01403.01,Kepler-833 b,0.034,0.432,-0.034
8874090,K01404.01,Kepler-834 b,0.073,0.351,-0.073
8874090,K01404.02,,0.004,0.446,-0.004
9264949,K01405.01,Kepler-835 b,0.947,0.000,-0.662
9271752,K01406.01,Kepler-836 b,0.734,0.010,-0.528
9150827,K01408.01,,0.766,0.166,-0.524
9391208,K01409.01,Kepler-837 b,0.960,0.049,-0.698
9391506,K01410.01,Kepler-838 b,0.637,0.251,-0.430
9425139,K01411.01,,0.695,0.047,-0.375
8950853,K01412.01,Kepler-839 b,0.845,0.059,-0.573
9006449,K01413.01,Kepler-295 b,0.931,0.007,-0.709
9006449,K01413.02,Kepler-295 c,0.804,0.008,-0.574
9006449,K01413.03,Kepler-295 d,0.961,0.031,-0.684
8916492,K01414.01,,0.715,0.043,-0.514
11517719,K01416.01,Kepler-840 b,0.133,0.058,-0.133
11599264,K01417.01,,6.787,52.640,-0.342
11100657,K01418.01,,10.047,49.430,-1.794
11125936,K01419.01,,1.280,4.324,-0.123
11026304,K01420.01,,0.573,0.026,-0.426
11497958,K01422.01,Kepler-296 c,0.026,0.405,-0.026
11497958,K01422.02,Kepler-296 d,0.217,0.245,-0.217
11497958,K01422.03,Kepler-296 b,0.763,0.015,-0.551
11497958,K01422.04,Kepler-296 f,0.029,0.422,-0.029
11497958,K01422.05,Kepler-296 e,0.105,0.334,-0.105
11177707,K01423.01,Kepler-841 b,0.017,0.390,-0.017
11611600,K01424.01,Kepler-842 b,0.067,0.397,-0.067
11254382,K01425.01,Kepler-843 b,0.282,0.190,-0.282
11122894,K01426.01,Kepler-297 b,0.028,0.334,-0.028
11122894,K01426.02,Kepler-297 c,0.796,0.011,-0.060
11122894,K01426.03,,1.252,67.030,-0.169
11129738,K01427.01,Kepler-844 b,0.891,0.044,-0.623
11129738,K01427.02,,0.776,0.056,-0.541
11401182,K01428.01,Kepler-845 b,0.795,0.078,-0.536
11030711,K01429.01,,0.196,0.228,-0.196
11176127,K01430.01,Kepler-298 b,0.664,0.234,-0.434
11176127,K01430.02,Kepler-298 c,0.805,0.139,-0.577
11176127,K01430.03,Kepler-298 d,0.758,0.013,-0.549
11075279,K01431.01,,0.870,0.004,-0.007
11014932,K01432.01,Kepler-299 c,0.953,0.004,-0.681
11014932,K01432.02,Kepler-299 d,0.321,0.130,-0.321
11014932,K01432.03,Kepler-299 b,0.043,0.410,-0.043
11014932,K01432.04,Kepler-299 e,0.115,0.340,-0.115
11288505,K01433.01,Kepler-846 b,0.054,0.389,-0.054
11493431,K01434.01,Kepler-847 b,0.047,0.401,-0.047
11037335,K01435.01,Kepler-300 c,0.638,0.237,-0.416
11037335,K01435.02,Kepler-300 b,0.967,0.030,-0.691
11389771,K01436.01,Kepler-301 b,0.009,0.448,-0.009
11389771,K01436.02,Kepler-301 d,0.359,0.092,-0.359
11389771,K01436.03,Kepler-301 c,0.536,0.396,-0.330
11599038,K01437.01,,0.581,0.021,-0.475
11599038,K01437.02,,0.579,0.386,-0.366
11599038,K01437.03,,0.415,0.038,-0.415
11193263,K01438.01,Kepler-848 b,0.259,0.175,-0.259
11027624,K01439.01,Kepler-849 b,0.336,0.092,-0.229
11032227,K01440.01,Kepler-850 b,0.017,0.396,-0.017
11356260,K01441.01,Kepler-851 b,0.816,0.138,-0.559
11600889,K01442.01,Kepler-407 b,0.157,0.272,-0.157
11197126,K01443.01,,1.149,34.900,-0.322
11043167,K01444.01,Kepler-852 b,0.481,0.438,-0.276
11336883,K01445.01,Kepler-853 b,0.573,0.362,-0.355
12506351,K01446.01,,1.111,1.302,-0.103
7622486,K01447.01,,0.877,0.062,-0.058
7622486,K01447.02,,0.739,0.007,-0.011
9705459,K01448.01,,0.079,0.192,-0.079
7802136,K01449.01,,0.733,0.001,-0.001
7532973,K01450.01,Kepler-854 b,1.228,0.059,-0.048
9632895,K01451.01,,0.257,0.003,-0.004
7449844,K01452.01,,0.811,0.025,-0.054
7842610,K01453.01,,1.420,0.230,-0.297
7830637,K01454.01,,5.011,69.170,-1.954
4760746,K01455.01,,0.880,0.015,-0.012
7832356,K01456.01,Kepler-855 b,0.048,0.100,-0.048
9643874,K01457.01,Kepler-856 b,0.495,0.046,-0.148
12120943,K01458.01,,0.294,0.093,-0.294
9761199,K01459.01,,1.267,4.081,-0.025
7751571,K01460.01,,0.784,0.024,-0.036
9579499,K01461.01,,1.255,6.190,-0.175
11913013,K01462.01,,1.258,15.940,-0.409
7672940,K01463.01,,0.447,0.006,-0.009
7838655,K01464.01,,3.178,4.431,-0.656
11702948,K01465.01,,0.946,0.061,-0.029
9512981,K01466.01,,0.000,0.107,0.000
7770450,K01467.01,,1.203,1.194,-0.117
9851226,K01468.01,,0.918,0.006,-0.008
7543649,K01469.01,,0.966,0.011,-0.008
9480310,K01470.01,,0.707,0.005,-0.520
11858748,K01471.01,,0.782,0.197,-0.516
7761545,K01472.01,Kepler-857 b,0.052,0.227,-0.052
7499398,K01473.01,,0.794,0.007,-0.420
12365184,K01474.01,Kepler-419 b,0.019,0.149,-0.019
4770365,K01475.01,,0.016,0.463,-0.016
4770365,K01475.02,,0.133,0.337,-0.133
4770365,K01475.03,,0.236,0.234,-0.236
12406749,K01476.01,,0.906,0.009,-0.038
7811397,K01477.01,,0.625,0.047,-0.406
12403119,K01478.01,Kepler-858 b,0.044,0.253,-0.044
9842890,K01479.01,,0.939,0.008,-0.024
7512982,K01480.01,Kepler-859 b,0.295,0.148,-0.295
7512982,K01480.02,,0.139,0.319,-0.139
9597806,K01481.01,Kepler-860 b,0.027,0.358,-0.027
7812167,K01482.01,,3.720,72.710,-4.235
11909686,K01483.01,,1.264,32.740,-0.177
11760959,K01484.01,,0.076,0.410,-0.076
9692345,K01485.01,,0.018,0.362,-0.018
7898352,K01486.01,Kepler-302 c,0.827,0.009,-0.011
7898352,K01486.02,Kepler-302 b,0.011,0.392,-0.011
12062667,K01487.01,,1.140,1.187,-0.032
9589323,K01488.01,Kepler-861 b,0.049,0.379,-0.049
9823487,K01489.01,,0.490,0.040,-0.424
9602514,K01490.01,,0.010,0.302,-0.010
9726659,K01491.01,Kepler-862 b,0.652,0.006,-0.510
12108312,K01492.01,,1.200,0.278,-0.144
9842906,K01493.01,,0.944,0.018,-0.627
11821363,K01494.01,,0.252,0.198,-0.252
7629518,K01495.01,Kepler-863 b,0.266,0.161,-0.266
4828341,K01496.01,,1.474,70.280,-1.154
11774387,K01497.01,,0.562,0.015,-0.470
9636135,K01498.01,Kepler-864 b,0.742,0.183,-0.528
9636135,K01498.02,,0.550,0.402,-0.336
7841925,K01499.01,Kepler-865 b,0.027,0.367,-0.027
7841925,K01499.02,,0.018,0.442,-0.018
7841925,K01499.03,,0.272,0.189,-0.272
9719634,K01500.01,,0.129,0.342,-0.129
7439316,K01501.01,Kepler-866 b,0.146,0.291,-0.146
12061238,K01502.01,,0.302,0.341,-0.302
12400538,K01503.01,Kepler-867 b,0.345,0.073,-0.345
